Electoral Vote Total,Candidate (Party Label)
69,George Washington (Federalist)
34,John Adams (Federalist)
9,John Jay (Federalist)
6,John Rutledge (Federalist)
4,John Hancock (Federalist)
3,George Clinton (Anti-Federalist)
7,Others
44Electoral votes not cast
